gene_name,gene_id,mirna_name,mirna_id,experiments,publications,cell_lines,micro_tscore
ANK2,ENSG00000145362,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.47
ANK3,ENSG00000151150,hsa-miR-29a-3p,MIMAT0000086,5,5,2,0.82
ANKRD26,ENSG00000107890,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.56
ANKRD33B,ENSG00000164236,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.35
AP2S1,ENSG00000042753,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
ARF6,ENSG00000165527,hsa-miR-29a-3p,MIMAT0000086,5,4,2,-1
ARID4A,ENSG00000032219,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.4
ARL4A,ENSG00000122644,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.6
ATAD1,ENSG00000138138,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.4
ATAD5,ENSG00000176208,hsa-miR-29a-3p,MIMAT0000086,5,3,4,-1
ATP10A,ENSG00000206190,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.45
ATP11C,ENSG00000101974,hsa-miR-29a-3p,MIMAT0000086,5,3,5,-1
ATP2C1,ENSG00000017260,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
ATP5F1A,ENSG00000152234,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
ATP5MC3,ENSG00000154518,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.68
ATP6AP2,ENSG00000182220,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
ATP8A1,ENSG00000124406,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.5
ATXN7L3,ENSG00000087152,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.52
BAHD1,ENSG00000140320,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.5
BANF1,ENSG00000175334,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.46
BIRC2,ENSG00000110330,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.76
BMAL2,ENSG00000029153,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.65
BPNT2,ENSG00000104331,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.41
BTBD3,ENSG00000132640,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.44
BTBD7,ENSG00000011114,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.69
C11ORF54,ENSG00000182919,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.65
CCNJ,ENSG00000107443,hsa-miR-29a-3p,MIMAT0000086,5,5,5,1
CCSER1,ENSG00000184305,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.7
CCT3,ENSG00000163468,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
CCT5,ENSG00000150753,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.47
CDC27,ENSG00000004897,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.37
CDV3,ENSG00000091527,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.4
CHD1,ENSG00000153922,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.58
CHD6,ENSG00000124177,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.37
CHD9,ENSG00000177200,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.61
CHIC2,ENSG00000109220,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.46
CHPT1,ENSG00000111666,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.38
CHRNB2,ENSG00000160716,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.59
CLASP1,ENSG00000074054,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.48
CLDN1,ENSG00000163347,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-0.01
COL19A1,ENSG00000082293,hsa-miR-29a-3p,MIMAT0000086,5,2,5,0.86
COL27A1,ENSG00000196739,hsa-miR-29a-3p,MIMAT0000086,5,5,3,0.87
COLGALT1,ENSG00000130309,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.41
COPB2,ENSG00000184432,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.51
CORO1C,ENSG00000110880,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.6
CREM,ENSG00000095794,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.64
CRK,ENSG00000167193,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.4
CSGALNACT2,ENSG00000169826,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.76
CSNK1G2,ENSG00000133275,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.45
CYB5R3,ENSG00000100243,hsa-miR-29a-3p,MIMAT0000086,5,2,5,0.49
CYP1B1,ENSG00000138061,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.47
DCAF5,ENSG00000139990,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.72
DCLK1,ENSG00000133083,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.73
DCTN5,ENSG00000166847,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.4
DDA1,ENSG00000130311,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.45
DDX17,ENSG00000100201,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.46
DEDD,ENSG00000158796,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.49
DENND2A,ENSG00000146966,hsa-miR-29a-3p,MIMAT0000086,5,7,5,-1
DKK1,ENSG00000107984,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.43
DNMT3B,ENSG00000088305,hsa-miR-29a-3p,MIMAT0000086,5,3,4,0.38
DSG2,ENSG00000046604,hsa-miR-29a-3p,MIMAT0000086,5,2,5,0.66
DTL,ENSG00000143476,hsa-miR-29a-3p,MIMAT0000086,5,3,4,-1
DUT,ENSG00000128951,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
DYNC2H1,ENSG00000187240,hsa-miR-29a-3p,MIMAT0000086,5,4,2,0.43
EDC3,ENSG00000179151,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.57
EEF1G,ENSG00000254772,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
EFNA5,ENSG00000184349,hsa-miR-29a-3p,MIMAT0000086,5,4,2,0.98
EHMT2,ENSG00000204371,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.42
EIF2B1,ENSG00000111361,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.49
EIF3J,ENSG00000104131,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.88
ELL2,ENSG00000118985,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.48
EMG1,ENSG00000126749,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.54
EMP2,ENSG00000213853,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.51
EPM2AIP1,ENSG00000178567,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.52
EREG,ENSG00000124882,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.59
ERP44,ENSG00000023318,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.88
ESD,ENSG00000139684,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.41
ETV5,ENSG00000244405,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.55
EXOC4,ENSG00000131558,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.4
FAF2,ENSG00000113194,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.43
FAM102A,ENSG00000167106,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.38
FAM171B,ENSG00000144369,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.36
FAM241A,ENSG00000174749,hsa-miR-29a-3p,MIMAT0000086,5,3,4,1
FAM91A1,ENSG00000176853,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
FBRS,ENSG00000156860,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.66
FECH,ENSG00000066926,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.42
FMNL2,ENSG00000157827,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
FRAS1,ENSG00000138759,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.79
FZD6,ENSG00000164930,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.45
G3BP1,ENSG00000145907,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.47
GABARAP,ENSG00000170296,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.4
GANAB,ENSG00000089597,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.41
GARRE1,ENSG00000166398,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.9
GBF1,ENSG00000107862,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
GCSH,ENSG00000140905,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.47
GFRA1,ENSG00000151892,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
GID4,ENSG00000141034,hsa-miR-29a-3p,MIMAT0000086,5,6,5,0.61
GJA1,ENSG00000152661,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.53
GLUL,ENSG00000135821,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
GNS,ENSG00000135677,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.75
GP1BB,ENSG00000203618,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.61
GPAA1,ENSG00000197858,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.41
GPD2,ENSG00000115159,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.38
H1-2,ENSG00000187837,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
H2BC7,ENSG00000277224,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.41
H3C3,ENSG00000287080,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
HCFC1,ENSG00000172534,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.48
HERC2,ENSG00000128731,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.42
HERC4,ENSG00000148634,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
HIF3A,ENSG00000124440,hsa-miR-29a-3p,MIMAT0000086,5,4,4,1
HIVEP3,ENSG00000127124,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.53
HMBOX1,ENSG00000147421,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
HSPD1,ENSG00000144381,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.47
IER3,ENSG00000137331,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.37
IFFO2,ENSG00000169991,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.97
IFITM1,ENSG00000185885,hsa-miR-29a-3p,MIMAT0000086,5,4,2,0.37
IMPDH1,ENSG00000106348,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.93
INO80D,ENSG00000114933,hsa-miR-29a-3p,MIMAT0000086,5,2,5,0.66
IP6K2,ENSG00000068745,hsa-miR-29a-3p,MIMAT0000086,5,3,5,-1
IPO5,ENSG00000065150,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
ITGB5,ENSG00000082781,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.42
ITPRIPL2,ENSG00000205730,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.41
JAK1,ENSG00000162434,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.51
JKAMP,ENSG00000050130,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
JPT2,ENSG00000206053,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.46
KANK2,ENSG00000197256,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.44
KCNK3,ENSG00000171303,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.46
KIF26B,ENSG00000162849,hsa-miR-29a-3p,MIMAT0000086,5,3,2,1
KIF5B,ENSG00000170759,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.7
KLHDC10,ENSG00000128607,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.64
KLHL18,ENSG00000114648,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.54
KLHL8,ENSG00000145332,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.78
LAMB2,ENSG00000172037,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.41
LAMTOR1,ENSG00000149357,hsa-miR-29a-3p,MIMAT0000086,5,3,5,0.64
LAP3,ENSG00000002549,hsa-miR-29a-3p,MIMAT0000086,5,2,2,0.37
LDHA,ENSG00000134333,hsa-miR-29a-3p,MIMAT0000086,5,3,4,0.45
LENG8,ENSG00000167615,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.37
LETM1,ENSG00000168924,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.4
LGALS8,ENSG00000116977,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.87
LGR4,ENSG00000205213,hsa-miR-29a-3p,MIMAT0000086,5,2,2,0.38
LIF,ENSG00000128342,hsa-miR-29a-3p,MIMAT0000086,5,3,5,0.61
LIMA1,ENSG00000050405,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.42
LMNA,ENSG00000160789,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.42
LNPK,ENSG00000144320,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.71
LRATD2,ENSG00000168672,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.5
LRP8,ENSG00000157193,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.41
LRRC41,ENSG00000132128,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
LTA4H,ENSG00000111144,hsa-miR-29a-3p,MIMAT0000086,5,5,3,-1
LTBP1,ENSG00000049323,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
M6PR,ENSG00000003056,hsa-miR-29a-3p,MIMAT0000086,5,4,5,-1
MAP2K4,ENSG00000065559,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.83
MAP3K9,ENSG00000006432,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.56
MARCHF6,ENSG00000145495,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
MARVELD2,ENSG00000152939,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.58
MB21D2,ENSG00000180611,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.41
MBTPS1,ENSG00000140943,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.53
MCM6,ENSG00000076003,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
MCU,ENSG00000156026,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.44
MGST3,ENSG00000143198,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.37
MICAL3,ENSG00000243156,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.56
MICALL1,ENSG00000100139,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.41
MKNK2,ENSG00000099875,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.37
MON2,ENSG00000061987,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
MOV10,ENSG00000155363,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.35
MTA2,ENSG00000149480,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
MTHFD2,ENSG00000065911,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.46
MYO1B,ENSG00000128641,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
MYO6,ENSG00000196586,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.48
N4BP2,ENSG00000078177,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.91
N4BP2L1,ENSG00000139597,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.78
NA,ENSG00000285238,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.4
NA,ENSG00000262526,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
NAA25,ENSG00000111300,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.37
NAA40,ENSG00000110583,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.61
NAP1L4,ENSG00000205531,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
NCAPG,ENSG00000109805,hsa-miR-29a-3p,MIMAT0000086,5,5,3,-1
NDUFS4,ENSG00000164258,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
NEDD9,ENSG00000111859,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.71
NEU1,ENSG00000204386,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
NEXMIF,ENSG00000050030,hsa-miR-29a-3p,MIMAT0000086,5,5,4,1
NFATC3,ENSG00000072736,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.69
NFS1,ENSG00000244005,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.46
NIPA1,ENSG00000170113,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.36
NOVA1,ENSG00000139910,hsa-miR-29a-3p,MIMAT0000086,5,2,2,0.99
NPTN,ENSG00000156642,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
NR1D1,ENSG00000126368,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.39
NSD2,ENSG00000109685,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.85
NUAK1,ENSG00000074590,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.58
OAZ1,ENSG00000104904,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.36
OXR1,ENSG00000164830,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.94
OXSR1,ENSG00000172939,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
PAPPA,ENSG00000182752,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.4
PARM1,ENSG00000169116,hsa-miR-29a-3p,MIMAT0000086,5,3,4,0.44
PAX9,ENSG00000198807,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.4
PCDH18,ENSG00000189184,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.5
PCDH9,ENSG00000184226,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.87
PCDHA1,ENSG00000204970,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.94
PCDHA10,ENSG00000250120,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.78
PCDHA11,ENSG00000249158,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA12,ENSG00000251664,hsa-miR-29a-3p,MIMAT0000086,5,4,3,1
PCDHA13,ENSG00000239389,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA2,ENSG00000204969,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA3,ENSG00000255408,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA4,ENSG00000204967,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.42
PCDHA5,ENSG00000204965,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA6,ENSG00000081842,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA7,ENSG00000204963,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA8,ENSG00000204962,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHA9,ENSG00000204961,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.44
PCDHAC1,ENSG00000248383,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHAC2,ENSG00000243232,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.93
PCDHGA1,ENSG00000204956,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.38
PCDHGA10,ENSG00000253846,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGA11,ENSG00000253873,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGA12,ENSG00000253159,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.39
PCDHGA2,ENSG00000081853,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.36
PCDHGA3,ENSG00000254245,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.35
PCDHGA4,ENSG00000262576,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.35
PCDHGA5,ENSG00000253485,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.37
PCDHGA6,ENSG00000253731,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.35
PCDHGA7,ENSG00000253537,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.36
PCDHGA8,ENSG00000253767,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.35
PCDHGA9,ENSG00000261934,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.35
PCDHGB1,ENSG00000254221,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGB2,ENSG00000253910,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGB3,ENSG00000262209,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.36
PCDHGB4,ENSG00000253953,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.37
PCDHGB5,ENSG00000276547,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGB6,ENSG00000253305,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.36
PCDHGB7,ENSG00000254122,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGC3,ENSG00000240184,hsa-miR-29a-3p,MIMAT0000086,5,3,2,-1
PCDHGC4,ENSG00000242419,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.42
PCDHGC5,ENSG00000240764,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.4
PCGF5,ENSG00000180628,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.44
PCNX1,ENSG00000100731,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.36
PCOLCE,ENSG00000106333,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.47
PDE7B,ENSG00000171408,hsa-miR-29a-3p,MIMAT0000086,5,3,4,0.87
PDGFB,ENSG00000100311,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.87
PDHA1,ENSG00000131828,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.5
PDIA5,ENSG00000065485,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.41
PDS5B,ENSG00000083642,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.76
PHLDB1,ENSG00000019144,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.55
PHLDB3,ENSG00000176531,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.67
PI15,ENSG00000137558,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.99
PIGO,ENSG00000165282,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.56
PIK3R4,ENSG00000196455,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.51
PIM3,ENSG00000198355,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.36
PIP4K2B,ENSG00000276293,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.38
PITPNB,ENSG00000180957,hsa-miR-29a-3p,MIMAT0000086,5,4,2,-1
PLAA,ENSG00000137055,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.54
PLEKHA5,ENSG00000052126,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
PLEKHM3,ENSG00000178385,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.64
PLK1,ENSG00000166851,hsa-miR-29a-3p,MIMAT0000086,5,2,5,-1
PLSCR3,ENSG00000187838,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.4
PNRC1,ENSG00000146278,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
PODXL2,ENSG00000114631,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.36
POLR2E,ENSG00000099817,hsa-miR-29a-3p,MIMAT0000086,5,4,5,-1
POLR3D,ENSG00000168495,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.46
PPID,ENSG00000171497,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.48
PPP1CB,ENSG00000213639,hsa-miR-29a-3p,MIMAT0000086,5,4,3,-1
PPP1R13B,ENSG00000088808,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.09
PPP1R37,ENSG00000104866,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.39
PPP2CA,ENSG00000113575,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.61
PPP2R2A,ENSG00000221914,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
PPT2,ENSG00000221988,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.36
PRDM4,ENSG00000110851,hsa-miR-29a-3p,MIMAT0000086,5,4,5,-1
PRKCE,ENSG00000171132,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.4
PRPF40A,ENSG00000196504,hsa-miR-29a-3p,MIMAT0000086,5,5,4,0.88
PRRC2B,ENSG00000288701,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
PSME3,ENSG00000131467,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.37
PTAR1,ENSG00000188647,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.7
PTCH1,ENSG00000185920,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.53
PTPRF,ENSG00000142949,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
PWWP2A,ENSG00000170234,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.47
RASA2,ENSG00000155903,hsa-miR-29a-3p,MIMAT0000086,5,4,4,-1
RB1CC1,ENSG00000023287,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.42
RBL1,ENSG00000080839,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.48
RC3H2,ENSG00000056586,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.46
RCBTB2,ENSG00000136161,hsa-miR-29a-3p,MIMAT0000086,5,2,5,0.49
RELA,ENSG00000173039,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.58
RHOG,ENSG00000177105,hsa-miR-29a-3p,MIMAT0000086,5,5,4,-1
RIF1,ENSG00000080345,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.37
RNASEL,ENSG00000135828,hsa-miR-29a-3p,MIMAT0000086,5,4,5,0.98
RO60,ENSG00000116747,hsa-miR-29a-3p,MIMAT0000086,5,5,5,0.38
RPL5,ENSG00000122406,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
RPS6KA3,ENSG00000177189,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.57
RTCB,ENSG00000100220,hsa-miR-29a-3p,MIMAT0000086,5,3,3,-1
SAMD9L,ENSG00000177409,hsa-miR-29a-3p,MIMAT0000086,5,3,5,-1
SCAP,ENSG00000114650,hsa-miR-29a-3p,MIMAT0000086,5,4,3,0.52
SEH1L,ENSG00000085415,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.38
SENP5,ENSG00000119231,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.55
SFMBT2,ENSG00000198879,hsa-miR-29a-3p,MIMAT0000086,5,3,3,0.37
SGMS1,ENSG00000198964,hsa-miR-29a-3p,MIMAT0000086,5,3,5,0.51
SGMS2,ENSG00000164023,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.96
SHCBP1,ENSG00000171241,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.39
SHROOM2,ENSG00000146950,hsa-miR-29a-3p,MIMAT0000086,5,3,2,0.99
SIN3A,ENSG00000169375,hsa-miR-29a-3p,MIMAT0000086,5,5,5,-1
SLC25A46,ENSG00000164209,hsa-miR-29a-3p,MIMAT0000086,5,4,4,0.57
